Symbol,Name,Index,Sector ,ESG,MarketCap,
MORF,MORPHIC HOLDING INC,Russell 2000,Health Care,35," 1,313,418,240 ",52.18914186
MNKD,MANNKIND CORP,Russell 2000,Health Care,35," 824,845,120 ",52.18914186
IRMD,IRADIMED CORP,Russell 2000,Health Care,35," 405,961,824 ",52.18914186
PRTH,PRIORITY TECHNOLOGY HOLDINGS INC,Russell 2000,Information Technology,35," 392,174,528 ",52.18914186
CZNC,CITIZENS AND NORTHERN CORP,Russell 2000,Financials,35," 383,274,688 ",52.18914186
CRMD,CORMEDIX INC,Russell 2000,Health Care,35," 139,808,080 ",52.18914186
COP,ConocoPhillips,S&P 500,Energy,34.9," 134,607,757,312 ",52.01401051
GD,General Dynamics,S&P 500,Industrials,34.9," 67,460,096,000 ",52.01401051
LBRT,LIBERTY OILFIELD SERVICES INC CLAS,Russell 2000,Energy,34.9," 3,217,505,280 ",52.01401051
SJW,SJW GROUP,Russell 2000,Utilities,34.9," 1,806,061,952 ",52.01401051
SKYW,SKYWEST INC,Russell 2000,Industrials,34.9," 1,475,380,224 ",52.01401051
SLCA,US SILICA HOLDINGS INC,Russell 2000,Energy,34.9," 1,471,052,544 ",52.01401051
VRTS,VIRTUS INVESTMENT PARTNERS INC,Russell 2000,Financials,34.9," 1,389,869,568 ",52.01401051
FMBH,FIRST MID BANCSHARES INC,Russell 2000,Financials,34.9," 754,337,024 ",52.01401051
GSBC,GREAT SOUTHERN BANCORP INC,Russell 2000,Financials,34.9," 749,963,968 ",52.01401051
AFMD,AFFIMED NV,Russell 2000,Health Care,34.9," 601,879,552 ",52.01401051
BLX,BANCO LATINOAMERICANO DE COMERCIO,Russell 2000,Financials,34.9," 548,538,880 ",52.01401051
SMBK,SMARTFINANCIAL INC,Russell 2000,Financials,34.9," 417,095,584 ",52.01401051
OPY,OPPENHEIMER HOLDINGS NON VOTING IN,Russell 2000,Financials,34.9," 407,102,912 ",52.01401051
RUBY,RUBIUS THERAPEUTICS INC,Russell 2000,Health Care,34.9," 149,709,760 ",52.01401051
ATO,Atmos Energy,S&P 500,Utilities,34.8," 15,616,663,552 ",51.83887916
CCF,CHASE CORP,Russell 2000,Materials,34.8," 835,061,440 ",51.83887916
NPTN,NEOPHOTONICS CORP,Russell 2000,Information Technology,34.8," 810,124,736 ",51.83887916
RIDE,LORDSTOWN MOTORS CORP CLASS A,Russell 2000,Consumer Discretionary,34.8," 417,655,136 ",51.83887916
BTAI,BIOXCEL THERAPEUTICS INC,Russell 2000,Health Care,34.8," 414,108,448 ",51.83887916
ALVR,ALLOVIR INC,Russell 2000,Health Care,34.8," 323,541,408 ",51.83887916
MCBC,MACATAWA BANK CORP,Russell 2000,Financials,34.8," 305,545,696 ",51.83887916
SPRO,SPERO THERAPEUTICS INC,Russell 2000,Health Care,34.8," 57,322,300 ",51.83887916
BA,Boeing,S&P 500,Industrials,34.7," 92,869,099,520 ",51.66374781
SMPL,THE SIMPLY GOOD FOODS COMPANY,Russell 2000,Consumer Staples,34.7," 4,039,892,480 ",51.66374781
NHC,NATIONAL HEALTHCARE CORP,Russell 2000,Health Care,34.7," 1,091,654,912 ",51.66374781
DGII,DIGI INTERNATIONAL INC,Russell 2000,Information Technology,34.7," 687,984,000 ",51.66374781
ELYM,ELIEM THERAPEUTICS INC,Russell 2000,Health Care,34.7," 96,972,104 ",51.66374781
SWN,SOUTHWESTERN ENERGY,Russell 2000,Energy,34.6," 8,773,174,272 ",51.48861646
EME,EMCOR GROUP INC,Russell 2000,Industrials,34.6," 5,608,221,184 ",51.48861646
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Russell 2000,Utilities,34.6," 5,318,562,304 ",51.48861646
SFBS,SERVISFIRST BANCSHARES INC,Russell 2000,Financials,34.6," 4,529,447,936 ",51.48861646
NWE,NORTHWESTERN CORP,Russell 2000,Utilities,34.6," 3,197,443,584 ",51.48861646
SYBT,STOCK YARDS BANCORP INC,Russell 2000,Financials,34.6," 1,602,143,616 ",51.48861646
QCRH,QCR HOLDINGS INC,Russell 2000,Financials,34.6," 853,294,720 ",51.48861646
ZYXI,ZYNEX INC,Russell 2000,Health Care,34.6," 256,923,328 ",51.48861646
TNXP,TONIX PHARMACEUTICALS HOLDING CORP,Russell 2000,Health Care,34.6," 81,691,136 ",51.48861646
SGTX,SIGILON THERAPEUTICS INC,Russell 2000,Health Care,34.6," 37,907,180 ",51.48861646
EVRG,Evergy,S&P 500,Utilities,34.5," 15,761,439,744 ",51.31348511
NJR,NEW JERSEY RESOURCES CORP,Russell 2000,Utilities,34.5," 4,284,338,176 ",51.31348511
FIZZ,NATIONAL BEVERAGE CORP,Russell 2000,Consumer Staples,34.5," 4,210,360,064 ",51.31348511
AVAV,AEROVIRONMENT INC,Russell 2000,Industrials,34.5," 2,267,450,624 ",51.31348511
BCRX,BIOCRYST PHARMACEUTICALS INC,Russell 2000,Health Care,34.5," 1,889,184,128 ",51.31348511
FBNC,FIRST BANCORP,Russell 2000,Financials,34.5," 1,373,918,080 ",51.31348511
RGNX,REGENXBIO INC,Russell 2000,Health Care,34.5," 1,232,037,888 ",51.31348511
GDYN,GRID DYNAMICS HOLDINGS INC CLASS A,Russell 2000,Information Technology,34.5," 1,038,635,264 ",51.31348511
HWKN,HAWKINS INC,Russell 2000,Materials,34.5," 815,519,232 ",51.31348511
ATRA,ATARA BIOTHERAPEUTICS INC,Russell 2000,Health Care,34.5," 682,795,648 ",51.31348511
CSTR,CAPSTAR FINANCIAL HOLDINGS INC,Russell 2000,Financials,34.5," 461,191,584 ",51.31348511
FRST,PRIMIS FINANCIAL CORP,Russell 2000,Financials,34.5," 336,102,560 ",51.31348511
KOD,KODIAK SCIENCES INC,Russell 2000,Health Care,34.5," 334,581,664 ",51.31348511
ODC,OIL DRI CORPORATION OF AMERICA,Russell 2000,Consumer Staples,34.5," 180,445,920 ",51.31348511
CRIS,CURIS INC,Russell 2000,Health Care,34.5," 91,645,400 ",51.31348511
DVN,Devon,S&P 500,Energy,34.4," 44,737,392,640 ",51.13835377
TXT,Textron,S&P 500,Industrials,34.4," 15,622,486,016 ",51.13835377
THC,TENET HEALTHCARE CORP,Russell 2000,Health Care,34.4," 8,132,008,960 ",51.13835377
NEX,NEXTIER OILFIELD SOLUTIONS INC,Russell 2000,Energy,34.4," 2,799,092,992 ",51.13835377
TWST,TWIST BIOSCIENCE CORP,Russell 2000,Health Care,34.4," 1,955,513,600 ",51.13835377
THS,TREEHOUSE FOODS INC,Russell 2000,Consumer Staples,34.4," 1,781,713,152 ",51.13835377
ZNTL,ZENTALIS PHARMACEUTICALS INC,Russell 2000,Health Care,34.4," 1,241,096,448 ",51.13835377
IPSC,CENTURY THERAPEUTICS INC,Russell 2000,Health Care,34.4," 729,514,304 ",51.13835377
IMGO,IMAGO BIOSCIENCES INC,Russell 2000,Health Care,34.4," 575,834,240 ",51.13835377
GNTY,GUARANTY BANCSHARES INC,Russell 2000,Financials,34.4," 430,050,048 ",51.13835377
AVTE,AEROVATE THERAPEUTICS INC,Russell 2000,Health Care,34.4," 320,508,544 ",51.13835377
VTGN,VISTAGEN THERAPEUTICS INC,Russell 2000,Health Care,34.4," 293,269,760 ",51.13835377
AMTI,APPLIED MOLECULAR TRANSPORT,Russell 2000,Health Care,34.4," 183,994,000 ",51.13835377
CUE,CUE BIOPHARMA INC,Russell 2000,Health Care,34.4," 142,276,112 ",51.13835377
RAIN,RAIN THERAPEUTICS INC,Russell 2000,Health Care,34.4," 98,328,272 ",51.13835377
CAT,Caterpillar,S&P 500,Industrials,34.3," 118,723,723,264 ",50.96322242
ALE,ALLETE INC,Russell 2000,Utilities,34.3," 3,501,391,872 ",50.96322242
RILY,B RILEY FINANCIAL INC,Russell 2000,Financials,34.3," 1,498,906,496 ",50.96322242
RIOT,RIOT BLOCKCHAIN INC,Russell 2000,Information Technology,34.3," 1,357,207,296 ",50.96322242
BKD,BROOKDALE SENIOR LIVING INC,Russell 2000,Health Care,34.3," 1,174,727,680 ",50.96322242
CYH,COMMUNITY HEALTH SYSTEMS INC,Russell 2000,Health Care,34.3," 992,694,784 ",50.96322242
ASPN,ASPEN AEROGELS INC,Russell 2000,Materials,34.3," 845,714,368 ",50.96322242
RNA,AVIDITY BIOSCIENCES INC,Russell 2000,Health Care,34.3," 740,766,400 ",50.96322242
IDT,IDT CORP CLASS B,Russell 2000,Communication Services,34.3," 725,124,480 ",50.96322242
DSGN,DESIGN THERAPEUTICS INC,Russell 2000,Health Care,34.3," 704,045,952 ",50.96322242
INO,INOVIO PHARMACEUTICALS INC,Russell 2000,Health Care,34.3," 685,297,088 ",50.96322242
BVH,BLUEGREEN VACATIONS HOLDING CORP C,Russell 2000,Consumer Discretionary,34.3," 577,007,232 ",50.96322242
CCBG,CAPITAL CITY BANK INC,Russell 2000,Financials,34.3," 461,494,048 ",50.96322242
VOR,VOR BIOPHARMA INC,Russell 2000,Health Care,34.3," 213,579,280 ",50.96322242
CRTX,CORTEXYME INC,Russell 2000,Health Care,34.3," 118,570,344 ",50.96322242
AES,AES,S&P 500,Utilities,34.2," 14,629,298,176 ",50.78809107
SPXC,SPX CORP,Russell 2000,Industrials,34.2," 2,085,502,208 ",50.78809107
STBA,S AND T BANCORP INC,Russell 2000,Financials,34.2," 1,149,463,168 ",50.78809107
IMGN,IMMUNOGEN INC,Russell 2000,Health Care,34.2," 1,137,965,696 ",50.78809107
NUVB,NUVATION BIO INC CLASS A,Russell 2000,Health Care,34.2," 1,097,188,864 ",50.78809107
SIBN,SI BONE INC,Russell 2000,Health Care,34.2," 694,950,592 ",50.78809107
VERA,VERA THERAPEUTICS INC CLASS A,Russell 2000,Health Care,34.2," 539,676,672 ",50.78809107
ATHA,ATHIRA PHARMA INC,Russell 2000,Health Care,34.2," 401,072,896 ",50.78809107
URGN,UROGEN PHARMA LTD,Russell 2000,Health Care,34.2," 156,636,560 ",50.78809107
HBB,HAMILTON BEACH BRANDS HOLDING COMP,Russell 2000,Consumer Discretionary,34.2," 136,138,112 ",50.78809107
AGLE,AEGLEA BIOTHERAPEUTICS INC,Russell 2000,Health Care,34.2," 77,095,040 ",50.78809107
SGMS,SCIENTIFIC GAMES CORP,Russell 2000,Consumer Discretionary,34.1," 5,613,998,592 ",50.61295972
LIVN,LIVANOVA PLC,Russell 2000,Health Care,34.1," 4,083,922,944 ",50.61295972
TGH,TEXTAINER GROUP HOLDINGS LTD,Russell 2000,Industrials,34.1," 1,761,366,656 ",50.61295972
OII,OCEANEERING INTERNATIONAL INC,Russell 2000,Energy,34.1," 1,247,159,680 ",50.61295972
RXRX,RECURSION PHARMACEUTICALS INC CLAS,Russell 2000,Health Care,34.1," 1,209,961,984 ",50.61295972
HA,HAWAIIAN HOLDINGS INC,Russell 2000,Industrials,34.1," 912,082,560 ",50.61295972
INBX,INHIBRX INC,Russell 2000,Health Care,34.1," 724,515,712 ",50.61295972
TPB,TURNING POINT BRANDS INC,Russell 2000,Consumer Staples,34.1," 563,860,672 ",50.61295972
SEER,SEER INC CLASS A,Russell 2000,Health Care,34.1," 559,817,344 ",50.61295972
BFST,BUSINESS FIRST BANCSHARES INC,Russell 2000,Financials,34.1," 523,724,352 ",50.61295972
HRTX,HERON THERAPEUTICS INC,Russell 2000,Health Care,34.1," 500,139,392 ",50.61295972
WTBA,WEST BANCORPORATION INC,Russell 2000,Financials,34.1," 425,930,176 ",50.61295972
EPZM,EPIZYME INC,Russell 2000,Health Care,34.1," 124,033,608 ",50.61295972
VIR,VIR BIOTECHNOLOGY INC,Russell 2000,Health Care,34," 2,947,256,320 ",50.43782837
PUMP,PROPETRO HOLDING CORP,Russell 2000,Energy,34," 1,470,558,208 ",50.43782837
LYEL,LYELL IMMUNOPHARMA INC,Russell 2000,Health Care,34," 1,406,284,800 ",50.43782837
TMP,TOMPKINS FINANCIAL CORP,Russell 2000,Financials,34," 1,120,040,576 ",50.43782837
RYTM,RHYTHM PHARMACEUTICALS INC,Russell 2000,Health Care,34," 317,480,704 ",50.43782837
NVEC,NVE CORP,Russell 2000,Information Technology,34," 237,574,176 ",50.43782837
MTRX,MATRIX SERVICE,Russell 2000,Industrials,34," 187,215,264 ",50.43782837
HRTG,HERITAGE INSURANCE HOLDINGS INC,Russell 2000,Financials,34," 112,735,248 ",50.43782837
ROLL,RBC BEARINGS INC,Russell 2000,Industrials,33.9," 5,146,640,896 ",50.26269702
FBK,FB FINANCIAL CORP,Russell 2000,Financials,33.9," 1,922,785,152 ",50.26269702
SNPO,SNAP ONE HOLDINGS CORP,Russell 2000,Consumer Discretionary,33.9," 994,820,864 ",50.26269702
ITOS,ITEOS THERAPEUTICS INC,Russell 2000,Health Care,33.9," 992,188,096 ",50.26269702
SNDX,SYNDAX PHARMACEUTICALS INC,Russell 2000,Health Care,33.9," 963,316,160 ",50.26269702
FBMS,FIRST BANCSHARES INC,Russell 2000,Financials,33.9," 689,313,536 ",50.26269702
ALBO,ALBIREO PHARMA INC,Russell 2000,Health Care,33.9," 627,106,304 ",50.26269702
MOFG,MIDWESTONE FINANCIAL GROUP INC,Russell 2000,Financials,33.9," 472,428,928 ",50.26269702
ABUS,ARBUTUS BIOPHARMA CORP,Russell 2000,Health Care,33.9," 373,392,896 ",50.26269702
BPMC,BLUEPRINT MEDICINES CORP,Russell 2000,Health Care,33.8," 3,768,429,824 ",50.08756567
BGCP,BGC PARTNERS INC CLASS A,Russell 2000,Financials,33.8," 1,439,291,904 ",50.08756567
TTI,TETRA TECHNOLOGIES INC,Russell 2000,Energy,33.8," 583,346,816 ",50.08756567
FISI,FINANCIAL INSTITUTIONS INC,Russell 2000,Financials,33.8," 436,177,344 ",50.08756567
GHL,GREENHILL INC,Russell 2000,Financials,33.8," 236,587,184 ",50.08756567
SFT,SHIFT TECHNOLOGIES INC CLASS A,Russell 2000,Consumer Discretionary,33.8," 110,118,808 ",50.08756567
CYT,CYTEIR THERAPEUTICS INC,Russell 2000,Health Care,33.8," 87,460,232 ",50.08756567
ONCR,ONCORUS INC,Russell 2000,Health Care,33.8," 32,354,000 ",50.08756567
ESGR,ENSTAR GROUP LTD,Russell 2000,Financials,33.7," 4,399,247,872 ",49.91243433
REGI,RENEWABLE ENERGY INC,Russell 2000,Energy,33.7," 3,085,195,264 ",49.91243433
FOLD,AMICUS THERAPEUTICS INC,Russell 2000,Health Care,33.7," 2,017,329,664 ",49.91243433
EDIT,EDITAS MEDICINE INC,Russell 2000,Health Care,33.7," 1,085,196,928 ",49.91243433
EFC,ELLINGTON FINANCIAL INC,Russell 2000,Financials,33.7," 977,348,928 ",49.91243433
UVSP,UNIVEST FINANCIAL CORP,Russell 2000,Financials,33.7," 769,478,848 ",49.91243433
BFC,BANK FIRST CORP,Russell 2000,Financials,33.7," 545,776,576 ",49.91243433
PGEN,PRECIGEN INC,Russell 2000,Health Care,33.7," 296,002,720 ",49.91243433
FREQ,FREQUENCY THERAPEUTICS INC,Russell 2000,Health Care,33.7," 45,469,320 ",49.91243433
MMM,3M,S&P 500,Industrials,33.6," 87,765,966,848 ",49.73730298
MED,MEDIFAST INC,Russell 2000,Consumer Staples,33.6," 2,212,454,144 ",49.73730298
SBSI,SOUTHSIDE BANCSHARES INC,Russell 2000,Financials,33.6," 1,292,906,496 ",49.73730298
TSC,TRISTATE CAPITAL HOLDINGS INC,Russell 2000,Financials,33.6," 1,065,604,352 ",49.73730298
CHRS,COHERUS BIOSCIENCES INC,Russell 2000,Health Care,33.6," 751,643,712 ",49.73730298
CFB,CROSSFIRST BANKSHARES INC,Russell 2000,Financials,33.6," 656,910,848 ",49.73730298
EBTC,ENTERPRISE BANCORP INC,Russell 2000,Financials,33.6," 423,494,944 ",49.73730298
ALTG,ALTA EQUIPMENT GROUP INC CLASS A,Russell 2000,Industrials,33.6," 391,920,768 ",49.73730298
SMMF,SUMMIT FINANCIAL GROUP INC,Russell 2000,Financials,33.6," 350,179,840 ",49.73730298
STRO,SUTRO BIOPHARMA INC,Russell 2000,Health Care,33.6," 316,027,840 ",49.73730298
MUR,MURPHY OIL CORP,Russell 2000,Energy,33.5," 6,171,137,536 ",49.56217163
EBC,EASTERN BANKSHARES INC,Russell 2000,Financials,33.5," 3,621,581,824 ",49.56217163
CWT,CALIFORNIA WATER SERVICE GROUP,Russell 2000,Utilities,33.5," 2,788,130,048 ",49.56217163
RBB,RBB BANCORP,Russell 2000,Financials,33.5," 431,925,120 ",49.56217163
TSHA,TAYSHA GENE THERAPIES INC,Russell 2000,Health Care,33.5," 172,823,552 ",49.56217163
FIX,COMFORT SYSTEMS USA INC,Russell 2000,Industrials,33.4," 3,249,292,032 ",49.38704028
LOB,LIVE OAK BANCSHARES INC,Russell 2000,Financials,33.4," 1,988,837,248 ",49.38704028
HSKA,HESKA CORP,Russell 2000,Health Care,33.4," 1,228,966,400 ",49.38704028
HAFC,HANMI FINANCIAL CORP,Russell 2000,Financials,33.4," 731,244,032 ",49.38704028
MDXG,MIMEDX GROUP INC,Russell 2000,Health Care,33.4," 497,619,648 ",49.38704028
OOMA,OOMA INC,Russell 2000,Communication Services,33.4," 321,777,760 ",49.38704028
GTHX,G1 THERAPEUTICS INC,Russell 2000,Health Care,33.4," 234,453,184 ",49.38704028
PZN,PZENA INVESTMENT MANAGEMENT INC CL,Russell 2000,Financials,33.4," 119,774,344 ",49.38704028
GNLN,GREENLANE HOLDINGS INC CLASS A,Russell 2000,Consumer Discretionary,33.4," 41,094,996 ",49.38704028
UBSI,UNITED BANKSHARES INC,Russell 2000,Financials,33.3," 4,813,111,296 ",49.21190893
BEAM,BEAM THERAPEUTICS INC,Russell 2000,Health Care,33.3," 3,030,629,120 ",49.21190893
GPRE,GREEN PLAINS INC,Russell 2000,Energy,33.3," 1,674,393,088 ",49.21190893
CDMO,AVID BIOSERVICES INC,Russell 2000,Health Care,33.3," 890,971,712 ",49.21190893
ATLC,ATLANTICUS HOLDINGS CORP,Russell 2000,Financials,33.3," 702,117,248 ",49.21190893
INGN,INOGEN INC,Russell 2000,Health Care,33.3," 582,312,896 ",49.21190893
CARA,CARA THERAPEUTICS INC,Russell 2000,Health Care,33.3," 472,145,536 ",49.21190893
BWB,BRIDGEWATER BANCSHARES INC,Russell 2000,Financials,33.3," 457,400,800 ",49.21190893
VIEW,VIEW INC CLASS A,Russell 2000,Industrials,33.3," 362,653,504 ",49.21190893
RMO,ROMEO POWER INC CLASS A,Russell 2000,Industrials,33.3," 189,032,496 ",49.21190893
FMC,FMC,S&P 500,Materials,33.2," 16,459,944,960 ",49.03677758
SR,SPIRE INC,Russell 2000,Utilities,33.2," 3,882,296,576 ",49.03677758
ACAD,ACADIA PHARMACEUTICALS INC,Russell 2000,Health Care,33.2," 3,210,802,944 ",49.03677758
RRR,RED ROCK RESORTS ORS CLASS A INC,Russell 2000,Consumer Discretionary,33.2," 2,573,619,456 ",49.03677758
MSEX,MIDDLESEX WATER,Russell 2000,Utilities,33.2," 1,563,295,616 ",49.03677758
MBWM,MERCANTILE BANK CORP,Russell 2000,Financials,33.2," 506,985,600 ",49.03677758
RAPT,RAPT THERAPEUTICS INC,Russell 2000,Health Care,33.2," 442,682,848 ",49.03677758
VBIV,VBI VACCINES INC,Russell 2000,Health Care,33.2," 356,632,192 ",49.03677758
SLDB,SOLID BIOSCIENCES INC,Russell 2000,Health Care,33.2," 64,831,484 ",49.03677758
AVRO,AVROBIO INC,Russell 2000,Health Care,33.2," 40,637,744 ",49.03677758
PEG,PSEG,S&P 500,Utilities,33.1," 34,956,619,776 ",48.86164623
RRC,RANGE RESOURCES CORP,Russell 2000,Energy,33.1," 8,644,295,680 ",48.86164623
ULCC,FRONTIER GROUP HOLDINGS INC,Russell 2000,Industrials,33.1," 2,320,724,992 ",48.86164623
MGPI,MGP INGREDIENTS INC,Russell 2000,Consumer Staples,33.1," 2,099,233,024 ",48.86164623
OPK,OPKO HEALTH INC,Russell 2000,Health Care,33.1," 2,044,364,928 ",48.86164623
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,Russell 2000,Financials,33.1," 1,704,351,872 ",48.86164623
PRLB,PROTO LABS INC,Russell 2000,Industrials,33.1," 1,260,135,680 ",48.86164623
PEBO,PEOPLES BANCORP INC,Russell 2000,Financials,33.1," 818,489,472 ",48.86164623
FSBC,FIVE STAR BANCORP,Russell 2000,Financials,33.1," 453,577,664 ",48.86164623
SPFI,SOUTH PLAINS FINANCIAL INC,Russell 2000,Financials,33.1," 450,494,976 ",48.86164623
AKUS,AKOUOS INC,Russell 2000,Health Care,33.1," 100,415,984 ",48.86164623
SAFT,SAFETY INSURANCE GROUP INC,Russell 2000,Financials,33," 1,293,750,912 ",48.68651489
REPL,REPLIMUNE GROUP INC,Russell 2000,Health Care,33," 797,368,448 ",48.68651489
SWKS,Skyworks,S&P 500,Information Technology,32.9," 18,354,509,824 ",48.51138354
CAG,Conagra Brands,S&P 500,Consumer Staples,32.9," 17,126,737,920 ",48.51138354
INSM,INSMED INC,Russell 2000,Health Care,32.9," 2,716,566,784 ",48.51138354
TDS,TELEPHONE AND DATA SYSTEMS INC,Russell 2000,Communication Services,32.9," 2,207,189,760 ",48.51138354
CLDX,CELLDEX THERAPEUTICS INC,Russell 2000,Health Care,32.9," 1,502,215,680 ",48.51138354
ALLO,ALLOGENE THERAPEUTICS INC,Russell 2000,Health Care,32.9," 1,354,138,752 ",48.51138354
WNC,WABASH NATIONAL CORP,Russell 2000,Industrials,32.9," 736,959,936 ",48.51138354
GRPN,GROUPON INC,Russell 2000,Consumer Discretionary,32.9," 617,028,544 ",48.51138354
LOCO,EL POLLO LOCO INC,Russell 2000,Consumer Discretionary,32.9," 408,224,704 ",48.51138354
SCU,SCULPTOR CAPITAL MANAGEMENT INC CL,Russell 2000,Financials,32.9," 308,025,280 ",48.51138354
ALDX,ALDEYRA THERAPEUTICS INC,Russell 2000,Health Care,32.9," 170,823,392 ",48.51138354
DTIL,PRECISION BIOSCIENCES INC,Russell 2000,Health Care,32.9," 134,894,640 ",48.51138354
PASG,PASSAGE BIO INC,Russell 2000,Health Care,32.9," 121,106,176 ",48.51138354
WFC,Wells Fargo,S&P 500,Financials,32.8," 174,259,142,656 ",48.33625219
VICR,VICOR CORP,Russell 2000,Industrials,32.8," 2,873,671,680 ",48.33625219
SAVE,SPIRIT AIRLINES INC,Russell 2000,Industrials,32.8," 2,362,332,672 ",48.33625219
GSAT,GLOBALSTAR VOTING INC,Russell 2000,Communication Services,32.8," 2,177,370,880 ",48.33625219
KYMR,KYMERA THERAPEUTICS INC,Russell 2000,Health Care,32.8," 1,499,619,328 ",48.33625219
CNOB,CONNECTONE BANCORP INC,Russell 2000,Financials,32.8," 1,142,897,664 ",48.33625219
ACET,ADICET BIO INC,Russell 2000,Health Care,32.8," 627,262,720 ",48.33625219
FMNB,FARMERS NATIONAL BANC CORP,Russell 2000,Financials,32.8," 535,285,920 ",48.33625219
VIRX,VIRACTA THERAPEUTICS INC,Russell 2000,Health Care,32.8," 103,467,704 ",48.33625219
CELC,CELCUITY INC,Russell 2000,Health Care,32.8," 101,159,640 ",48.33625219
IBIO,IBIO INC,Russell 2000,Health Care,32.8," 67,387,336 ",48.33625219
SYNA,SYNAPTICS INC,Russell 2000,Information Technology,32.7," 6,779,500,032 ",48.16112084
CDE,COEUR MINING INC,Russell 2000,Materials,32.7," 1,089,008,640 ",48.16112084
HTBK,HERITAGE COMMERCE CORP,Russell 2000,Financials,32.7," 705,563,136 ",48.16112084
PGC,PEAPACK GLADSTONE FINANCIAL CORP,Russell 2000,Financials,32.7," 591,891,072 ",48.16112084
HBT,HBT FINANCIAL INC,Russell 2000,Financials,32.7," 503,172,448 ",48.16112084
POWL,POWELL INDUSTRIES INC,Russell 2000,Industrials,32.7," 271,037,952 ",48.16112084
SURF,SURFACE ONCOLOGY INC,Russell 2000,Health Care,32.7," 135,972,432 ",48.16112084
HWM,Howmet Aerospace,S&P 500,Industrials,32.6," 15,278,936,064 ",47.98598949
CADE,CADENCE BANK,Russell 2000,Financials,32.6," 4,944,501,760 ",47.98598949
GBT,GLOBAL BLOOD THERAPEUTICS INC,Russell 2000,Health Care,32.6," 2,092,907,264 ",47.98598949
CUBI,CUSTOMERS BANCORP INC,Russell 2000,Financials,32.6," 1,492,717,696 ",47.98598949
WTTR,SELECT ENERGY SERVICES INC CLASS A,Russell 2000,Energy,32.6," 834,415,616 ",47.98598949
IMXI,INTERNATIONAL MONEY EXPRESS INC,Russell 2000,Information Technology,32.6," 820,777,984 ",47.98598949
EQBK,EQUITY BANCSHARES INC CLASS A,Russell 2000,Financials,32.6," 533,800,192 ",47.98598949
CRDF,CARDIFF ONCOLOGY INC,Russell 2000,Health Care,32.6," 62,360,724 ",47.98598949
OVV,OVINTIV INC,Russell 2000,Energy,32.5," 14,704,546,816 ",47.81085814
PCVX,VAXCYTE INC,Russell 2000,Health Care,32.5," 1,526,770,176 ",47.81085814
AORT,ARTIVION INC,Russell 2000,Health Care,32.5," 833,764,992 ",47.81085814
FMTX,FORMA THERAPEUTICS HLDG INC,Russell 2000,Health Care,32.5," 420,062,624 ",47.81085814
GRWG,GROWGENERATION CORP,Russell 2000,Consumer Discretionary,32.5," 415,668,192 ",47.81085814
AMOT,ALLIED MOTION TECHNOLOGIES INC,Russell 2000,Industrials,32.5," 386,400,384 ",47.81085814
PBYI,PUMA BIOTECHNOLOGY INC,Russell 2000,Health Care,32.5," 110,575,528 ",47.81085814
SPRB,SPRUCE BIOSCIENCES INC,Russell 2000,Health Care,32.5," 42,776,100 ",47.81085814
FB,Meta,S&P 500,Communication Services,32.4," 604,618,948,608 ",47.6357268
LLY,Lilly,S&P 500,Health Care,32.4," 280,202,182,656 ",47.6357268
LUV,Southwest Airlines,S&P 500,Industrials,32.4," 28,503,396,352 ",47.6357268
SWK,Stanley Black & Decker,S&P 500,Industrials,32.4," 19,759,808,512 ",47.6357268
POWI,POWER INTEGRATIONS INC,Russell 2000,Information Technology,32.4," 5,129,319,424 ",47.6357268
SJI,S JERSEY INDS INC,Russell 2000,Utilities,32.4," 4,223,136,000 ",47.6357268
AUB,ATLANTIC UNION BANKSHARES CORP,Russell 2000,Financials,32.4," 2,681,208,320 ",47.6357268
WABC,WESTAMERICA BANCORPORATION,Russell 2000,Financials,32.4," 1,622,812,544 ",47.6357268
GERN,GERON CORP,Russell 2000,Health Care,32.4," 581,200,512 ",47.6357268
BNGO,BIONANO GENOMICS INC,Russell 2000,Health Care,32.4," 538,386,304 ",47.6357268
MCBS,METROCITY BANKSHARES INC,Russell 2000,Financials,32.4," 529,946,752 ",47.6357268
CRBU,CARIBOU BIOSCIENCES INC,Russell 2000,Health Care,32.4," 514,366,176 ",47.6357268
MLM,Martin Marietta,S&P 500,Materials,32.3," 23,545,303,040 ",47.46059545
NOVA,SUNNOVA ENERGY INTERNATIONAL INC,Russell 2000,Utilities,32.3," 2,248,981,760 ",47.46059545
ABTX,ALLEGIANCE BANCSHARES INC,Russell 2000,Financials,32.3," 862,401,216 ",47.46059545
NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,Russell 2000,Consumer Staples,32.3," 478,280,832 ",47.46059545
SESN,SESEN BIO INC,Russell 2000,Health Care,32.3," 103,003,208 ",47.46059545
FCX,Freeport-McMoRan,S&P 500,Materials,32.2," 59,940,343,808 ",47.2854641
AEL,AMERICAN EQUITY INVESTMENT LIFE HO,Russell 2000,Financials,32.2," 3,689,886,720 ",47.2854641
WHD,CACTUS INC CLASS A,Russell 2000,Energy,32.2," 3,198,462,464 ",47.2854641
IMKTA,INGLES MARKETS INC CLASS A,Russell 2000,Consumer Staples,32.2," 2,299,648,000 ",47.2854641
